index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
145,0.62640081,0.43691271,0.49902515,1.44918644,-2.62282511,-1.47963755,103.52464031
146,-0.07869489,0.72870571,0.60590183,1.42136312,-2.70419251,-1.50003536,103.52471954
147,0.15095876,0.73420800,0.67024874,1.37920468,-2.78441850,-1.52028367,103.52479924
148,0.58502836,0.51390852,0.68077121,1.32349588,-2.86344158,-1.54037809,103.52487941
149,-0.97387413,0.27778515,0.63635519,1.25516713,-2.94120026,-1.56031422,103.52496005
150,0.42051712,0.21111050,0.54100460,1.17526590,-3.01763304,-1.58008768,103.52504116
151,0.24883471,0.27260616,0.40458724,1.08490139,-3.09267843,-1.59969406,103.52512274
152,-0.41809248,0.30118127,0.24134616,0.98519566,-3.16627494,-1.61912898,103.52520480
153,0.51880781,0.17184733,0.06734809,0.87727676,-3.23836107,-1.63838805,103.52528733
154,0.16652266,-0.13055434,-0.10005870,0.76227955,-3.30887532,-1.65746685,103.52537033
155,-0.50726493,-0.48471847,-0.24428001,0.64134000,-3.37775621,-1.67636102,103.52545381
156,0.21957385,-0.75705906,-0.35011227,0.51559232,-3.44494223,-1.69506614,103.52553776
157,-0.03437524,-0.86084990,-0.40558494,0.38617056,-3.51037190,-1.71357783,103.52562219
158,-0.54972762,-0.74579665,-0.40428627,0.25421323,-3.57398371,-1.73189169,103.52570709
159,0.44300146,-0.44053299,-0.34998665,0.12085231,-3.63571617,-1.75000333,103.52579247
160,0.01425073,-0.08038159,-0.25708170,-0.01279496,-3.69550780,-1.76790835,103.52587833
161,-0.32311492,0.22851859,-0.14646036,-0.14561359,-3.75329708,-1.78560237,103.52596467
162,0.26226314,0.43929864,-0.04081571,-0.27648566,-3.80902254,-1.80308099,103.52605149
163,-0.00630147,0.52401948,0.03746829,-0.40435397,-3.86262267,-1.82033981,103.52613879
164,0.12991747,0.48579463,0.07017435,-0.52829301,-3.91403598,-1.83737444,103.52622656
165,0.20698564,0.38102022,0.04780671,-0.64745960,-3.96320097,-1.85418049,103.52631482
166,-0.55940466,0.32813140,-0.02777145,-0.76107302,-4.01005615,-1.87075357,103.52640356
167,0.17514298,0.37126955,-0.14681130,-0.86836559,-4.05454003,-1.88708927,103.52649278
168,-0.06218620,0.36308699,-0.29156223,-0.96856964,-4.09659111,-1.90318321,103.52658248
169,0.48967380,0.13182005,-0.44091154,-1.06091748,-4.13614790,-1.91903099,103.52667267
170,0.23357862,-0.31313556,-0.57348213,-1.14464146,-4.17314890,-1.93462822,103.52676334
171,-0.72466838,-0.71500187,-0.66828231,-1.21897440,-4.20753261,-1.94997051,103.52685449
172,-0.21641092,-0.78590933,-0.70720286,-1.28316116,-4.23923755,-1.96505346,103.52694614
173,-0.19848455,-0.51304629,-0.68170308,-1.33651286,-4.26820241,-1.97987268,103.52703826
174,0.41338115,-0.14456547,-0.59585007,-1.37849349,-4.29436679,-1.99442377,103.52713088
175,0.47996992,0.03821552,-0.46098753,-1.40877073,-4.31767123,-2.00870235,103.52722398
176,-0.67776149,0.01555366,-0.29558077,-1.42714552,-4.33805717,-2.02270401,103.52731756
